,Unnamed: 0,file,age,mlu,#words,#pronouns,#cased_pronoun,#errors,#verb,#noun,#determiner,richness,#I,#me,#you,#he,#him,#she,#her,#we,#us,#they,#them,#it,#parentwords,#parentpronouns,parentcased_pronouns,parenterrors,#parent_verb,#parent_noun,#parent_determiner,#past,#present,#perfect,#untensed
203,203,HSLLD/HV1/mit,48,3.965517241,361,53,28,0,46,45,18,0.212189616,23,1,11,2,1,0,0,1,0,0,0,14,948,112,42,0,116,139,59,10,7,3,26
204,204,HSLLD/HV1/mon,49,3.567567568,133,9,7,0,7,27,4,0.345454545,5,0,0,0,0,0,0,0,0,1,1,2,791,73,52,0,96,143,53,0,0,0,7
205,205,HSLLD/HV1/mon,49,2.142857143,30,6,4,0,5,4,2,0.417721519,4,0,1,0,0,0,0,0,0,0,0,1,107,23,10,0,18,7,3,1,0,0,4
206,206,HSLLD/HV1/mon,49,4.75,105,16,11,0,14,10,2,0.33916849,10,0,1,1,0,0,0,0,0,0,0,4,194,22,1,0,28,17,5,5,0,0,9
207,207,HSLLD/HV1/mon,49,3.391304348,223,21,14,0,23,36,14,0.308256881,11,1,5,0,1,0,0,0,0,0,1,2,292,29,8,0,29,44,22,1,2,1,19
208,208,HSLLD/HV1/mor,59,3.9375,144,0,0,0,1,11,6,0.265508685,0,0,0,0,0,0,0,0,0,0,0,0,661,81,58,0,90,92,40,0,1,0,0
209,209,HSLLD/HV1/mor,59,1.8,13,1,1,0,0,1,0,0.375,0,0,0,0,0,0,0,0,0,0,1,0,91,12,6,0,8,15,12,0,0,0,0
210,210,HSLLD/HV1/mor,59,4.25,207,30,22,0,41,14,2,0.19778002,14,8,4,0,0,0,0,0,0,0,0,4,770,59,14,1,132,102,23,4,9,2,26
211,211,HSLLD/HV1/mor,59,3.5,169,6,3,0,16,22,14,0.235714286,1,1,0,0,0,0,0,1,0,0,0,3,385,32,11,0,32,40,17,0,0,0,16
212,212,HSLLD/HV1/mrk,47,4.8,57,6,5,0,7,8,4,0.327967807,2,1,0,1,0,0,1,0,0,0,0,1,914,111,61,0,117,153,62,2,0,0,5
213,213,HSLLD/HV1/mrk,47,10.4,45,6,5,0,6,5,1,0.525547445,2,0,0,0,0,0,0,2,0,1,0,1,84,20,10,0,18,7,2,6,0,0,0
214,214,HSLLD/HV1/mrk,47,5.456140351,1029,93,53,0,115,127,33,0.183828383,20,7,20,5,11,2,0,0,1,7,0,20,1900,254,126,2,243,228,77,24,12,4,75
215,215,HSLLD/HV1/ned,59,2.875,316,35,26,0,39,51,25,0.227560051,15,3,6,7,0,0,0,1,0,0,0,3,1234,152,87,1,169,164,93,10,2,1,26
216,216,HSLLD/HV1/ned,59,5.071428571,74,10,9,0,10,13,8,0.408163265,1,1,1,3,0,0,0,4,0,0,0,0,104,20,5,0,23,10,4,7,1,0,2
217,217,HSLLD/HV1/ned,59,3.157894737,362,41,27,0,38,52,18,0.194805195,18,3,10,0,0,0,2,1,0,2,1,4,932,72,34,0,113,98,38,0,4,0,34
218,218,HSLLD/HV1/nic,45,2.734042553,284,26,20,0,24,47,18,0.198516425,7,1,2,12,0,0,0,0,0,0,0,4,2491,315,228,1,358,300,138,11,2,2,9
219,219,HSLLD/HV1/nic,45,8.25,97,11,8,0,11,17,6,0.354545455,3,4,1,0,0,0,0,0,0,1,0,2,116,18,8,0,14,8,4,5,4,1,1
220,220,HSLLD/HV1/nic,45,3.243902439,641,60,39,0,76,62,18,0.161669829,16,3,11,2,0,1,0,3,0,13,1,10,1928,221,116,0,320,252,102,14,14,1,47
221,221,HSLLD/HV1/pau,47,2.5,9,1,1,0,1,1,0,0.333048676,1,0,0,0,0,0,0,0,0,0,0,0,1129,135,115,0,142,198,99,0,0,0,1
222,222,HSLLD/HV1/pau,47,6.2,71,9,9,2,7,9,4,0.352272727,0,3,0,0,2,0,0,4,0,0,0,0,193,27,10,0,29,22,10,6,0,0,1
223,223,HSLLD/HV1/pau,47,5.053191489,435,65,42,0,71,43,19,0.230529595,29,4,13,0,0,2,1,0,2,2,2,10,588,59,14,0,81,73,32,19,11,2,39
224,224,HSLLD/HV1/pau,47,4.125,486,47,28,1,64,63,19,0.227272727,16,4,13,1,1,0,1,3,0,1,1,6,744,96,52,0,117,95,40,10,3,1,50
225,225,HSLLD/HV1/pet,45,3.4,371,17,16,0,35,70,24,0.180246914,7,3,1,5,0,0,0,1,0,0,0,0,1648,118,99,0,222,330,152,15,6,5,9
226,226,HSLLD/HV1/pet,45,2.388888889,56,4,4,0,5,6,0,0.353424658,4,0,0,0,0,0,0,0,0,0,0,0,307,42,17,0,49,41,19,1,0,0,4
227,227,HSLLD/HV1/pet,45,4.104477612,340,22,21,0,36,36,15,0.246875,9,3,0,0,0,1,0,2,0,1,5,1,619,60,32,0,89,86,39,4,1,0,31
228,228,HSLLD/HV1/ras,60,3.851851852,210,22,18,0,18,52,23,0.271966527,5,0,1,9,0,1,1,0,0,2,0,3,1689,147,103,0,242,318,110,11,0,0,7
229,229,HSLLD/HV1/ras,60,6,61,13,11,0,9,17,5,0.44,6,0,0,1,3,0,0,1,0,0,0,2,64,12,2,0,9,8,6,5,4,4,-4
230,230,HSLLD/HV1/ras,60,6.419847328,796,76,48,1,86,129,51,0.187134503,20,10,21,0,1,0,1,13,0,2,1,7,524,60,23,0,51,81,35,10,8,0,68
231,231,HSLLD/HV1/rau,45,3.87,378,21,18,0,28,69,37,0.209128065,11,0,0,3,4,0,0,0,0,0,0,3,1027,84,32,0,131,147,69,1,6,0,21
232,232,HSLLD/HV1/rau,45,5.466666667,72,12,11,0,10,11,9,0.301369863,6,2,1,0,0,1,0,2,0,0,0,0,220,32,14,0,35,27,12,7,1,0,2
233,233,HSLLD/HV1/rau,45,6.315315315,663,86,47,0,105,107,31,0.191994997,30,10,20,4,2,0,0,0,1,0,0,19,861,110,33,0,145,151,41,14,10,0,81
234,234,HSLLD/HV1/rau,45,4.054945055,370,39,19,0,53,42,25,0.233777778,15,3,11,1,0,0,0,0,0,0,0,9,726,97,28,0,116,62,27,1,10,0,42
235,235,HSLLD/HV1/rem,48,2.826086957,65,4,2,0,6,26,6,0.346883469,1,1,0,0,0,0,0,0,0,0,0,2,624,36,27,0,69,129,54,0,0,0,6
236,236,HSLLD/HV1/rem,48,8,45,10,9,0,7,1,0,0.405325444,2,1,0,4,2,0,0,0,0,0,0,1,275,40,15,0,43,15,6,7,4,0,-4
237,237,HSLLD/HV1/rem,48,9.911764706,1603,241,208,1,230,154,77,0.164837969,81,10,10,44,4,4,1,11,0,45,8,23,742,104,57,0,100,77,32,114,31,9,76
238,238,HSLLD/HV1/rem,48,3.35,141,7,5,0,11,25,7,0.251827782,2,0,0,0,0,0,0,2,0,0,1,2,728,91,43,0,127,73,35,0,1,0,10
239,239,HSLLD/HV1/ril,49,2.773584906,155,10,7,0,13,42,16,0.280534351,2,0,0,4,1,0,0,0,0,0,0,3,882,87,56,1,95,142,76,2,2,1,8
240,240,HSLLD/HV1/ril,49,3.3,48,4,3,0,5,4,1,0.304347826,3,0,1,0,0,0,0,0,0,0,0,0,258,45,17,0,50,20,11,1,1,0,3
241,241,HSLLD/HV1/ril,49,4.192771084,348,43,30,0,41,28,26,0.272108844,19,2,5,4,0,0,0,4,0,1,0,8,368,34,11,1,53,38,21,18,6,4,13
242,242,HSLLD/HV1/ril,49,2.333333333,133,19,13,0,16,19,6,0.274787535,11,1,3,0,0,0,0,1,0,0,0,3,569,83,29,0,66,57,34,2,5,0,9
243,243,HSLLD/HV1/roc,48,2.504587156,323,11,11,0,20,94,42,0.216731518,2,1,0,3,2,0,0,1,0,2,0,0,2153,153,100,0,241,448,194,7,2,0,11
244,244,HSLLD/HV1/roc,52,7.310344828,199,22,18,0,22,21,5,0.338461538,0,2,1,5,0,0,0,11,0,0,0,3,251,40,5,0,56,30,8,15,4,0,3
245,245,HSLLD/HV1/roc,52,5.482142857,1046,93,60,0,119,120,53,0.148280605,34,10,20,0,0,1,4,1,2,6,2,13,2501,351,139,0,378,313,136,33,20,6,60
246,246,HSLLD/HV1/ros,48,2.444444444,100,4,2,0,5,21,4,0.207953302,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,0,0
247,247,HSLLD/HV1/ros,59,6.259259259,168,21,18,0,18,31,16,0.359116022,4,1,0,0,0,0,0,12,1,0,0,3,186,19,2,0,18,40,16,3,1,0,14
248,248,HSLLD/HV1/ros,48,5.75,527,79,61,1,87,77,25,0.23210905,42,3,6,8,0,2,1,5,0,0,0,12,282,28,9,0,34,49,10,24,11,5,47
249,249,HSLLD/HV1/ros,48,3.50877193,230,16,10,0,23,29,13,0.273831776,6,2,2,1,0,1,0,0,0,0,0,4,36,5,3,0,6,4,2,0,6,0,17
